"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
1.12454974114396e-216,-1.41601732441575,0.144,0.337,2.61210413872919e-212,"Gm5441","Neuron"
1.656132501859e-216,1.40203339538879,0.425,0.22,3.84686457531809e-212,"Fkbp2","Neuron"
1.70506033638178e-216,1.49410857929445,0.383,0.177,3.9605141493476e-212,"Cox4i1","Neuron"
3.02507972035769e-215,-1.16803196829528,0.231,0.442,7.02665517444684e-211,"Gm12353","Neuron"
1.24338724645199e-213,-2.52979818867117,0.031,0.167,2.88813989605869e-209,"Gm17545","Neuron"
1.85371864446722e-213,-1.11737619025215,0.245,0.46,4.30581766736846e-209,"Gm19710","Neuron"
6.92544731945425e-212,-0.876703784432405,0.435,0.637,1.60864290336283e-207,"3110021N24Rik","Neuron"
2.18097816373236e-211,-1.27989628022939,0.187,0.388,5.06597607871752e-207,"Gm37679","Neuron"
3.36876877446915e-210,-0.820275834678721,0.539,0.71,7.82497610933694e-206,"Gm20642","Neuron"
8.43370369375549e-210,-1.1480971989612,0.392,0.577,1.95898069398552e-205,"Gm26883","Neuron"
7.05369567920537e-209,-0.983019501995837,0.403,0.6,1.63843243236582e-204,"AC149090.1","Neuron"
4.29392081904199e-208,-0.784555048910777,0.431,0.64,9.97391927847074e-204,"Psmc6","Neuron"
3.53209803238607e-206,-1.12750980169228,0.25,0.458,8.20435730962635e-202,"Gm15738","Neuron"
3.84585138818194e-206,-1.7444809619453,0.089,0.258,8.93314360446902e-202,"Gm20721","Neuron"
4.0794004997938e-204,1.36126462778398,0.412,0.212,9.47563148092104e-200,"Ndufc2","Neuron"
5.40817353843441e-204,0.559601891899007,0.874,0.817,1.25621054950755e-199,"Gpm6a","Neuron"
